sec	CH1	CH40	CH41	
0.322	-0.0115967	0.0255432	0	
0.324	-0.00488281	0.0253235	0	
0.326	0.0323486	0.025531	0	
0.328	-0.0244141	0.0257507	0	
0.33	0.00671387	0.0256531	0	
0.332	-0.0366211	0.0258667	0	
0.334	-0.0238037	0.025885	0	
0.336	-0.0610352	0.0263245	0	
0.338	-0.0415039	0.0266296	0	
0.34	-0.0463867	0.0270081	0	
0.342	-0.0488281	0.027356	0	
0.344	-0.0592041	0.0276672	0	
0.346	-0.0744629	0.0280334	0	
0.348	-0.0421143	0.028241	0	
0.35	-0.00549316	0.0280457	0	
0.352	0.0311279	0.0278564	0	
0.354	0.0280762	0.0279297	0	
0.356	-0.0640869	0.0285706	0	
0.358	-0.0628662	0.029071	0	
0.36	-0.00366211	0.02901	0	
0.362	-0.000610352	0.0287781	0	
0.364	-0.0177002	0.0288818	0	
0.366	-0.0335693	0.0290466	0	
0.368	-0.0494385	0.0291504	0	
0.37	-0.078125	0.0295959	0	
0.372	-0.0396729	0.0296631	0	
0.374	-0.0286865	0.0296204	0	
0.376	-0.03479	0.0296387	0	
0.378	-0.00976562	0.0295776	0	
0.38	-0.0152588	0.0293518	0	
0.382	0.00549316	0.0291687	0	
0.384	-0.020752	0.0292358	0	
0.386	-0.00366211	0.0290955	0	
0.388	0.022583	0.0292603	0	
0.39	-0.012207	0.0292175	0	
0.392	-0.0128174	0.0291809	0	
0.394	-0.0201416	0.0292358	0	
0.396	-0.00732422	0.0291443	0	
0.398	0.00610352	0.0288452	0	
0.4	0.0189209	0.028241	0	
0.402	0.0567627	0.028656	0	
0.404	0.00305176	0.0282043	0	
0.406	-0.0195312	0.0282898	0	
0.408	-0.00732422	0.0282104	0	
0.41	-0.0415039	0.0283081	0	
0.412	-0.010376	0.0279175	0	
0.414	-0.00183105	0.0276428	0	
0.416	-0.020752	0.0272949	0	
0.418	-0.0421143	0.0273743	0	
0.42	-0.0653076	0.0276306	0	
0.422	-0.0744629	0.0283508	0	
0.424	-0.0506592	0.0286621	0	
0.426	-0.0439453	0.0278931	0	
0.428	-0.0402832	0.0275391	0	
0.43	-0.0360107	0.027832	0	
0.432	-0.012207	0.0275391	0	
0.434	-0.0238037	0.0270081	0	
0.436	-0.0244141	0.0266846	0	
0.438	-0.0280762	0.0263062	0	
0.44	-0.0463867	0.0261597	0	
0.442	-0.0231934	0.0258789	0	
0.444	-0.0140381	0.0255005	0	
0.446	0.0134277	0.0253723	0	
0.448	-0.0189209	0.0252075	0	
0.45	-0.0567627	0.0254028	0	
0.452	-0.0421143	0.0257263	0	
0.454	-0.0158691	0.0257813	0	
0.456	-0.00854492	0.0255432	0	
0.458	-0.00488281	0.0251648	0	
0.46	-0.0109863	0.0251587	0	
0.462	-0.0146484	0.0252258	0	
0.464	-0.0384521	0.0254089	0	
0.466	-0.012207	0.0255127	0	
0.468	-0.0109863	0.0255554	0	
0.47	-0.0115967	0.0256592	0	
0.472	-0.0177002	0.0256592	0	
0.474	-0.0250244	0.0256958	0	
0.476	-0.00915527	0.0255432	0	
0.478	-0.0189209	0.0255554	0	
0.48	0	0.0254761	0	
0.482	-0.0128174	0.0251831	0	
0.484	-0.00427246	0.0250061	0	
0.486	0.00793457	0.0249268	0	
0.488	-0.0128174	0.0248596	0	
0.49	0.0183105	0.0248474	0	
0.492	-0.0012207	0.0244629	0	
0.494	-0.0238037	0.0243042	0	
0.496	-0.0177002	0.024469	0	
0.498	-0.0128174	0.0245605	0	
0.5	-0.0189209	0.0244019	0	
0.502	-0.0366211	0.0247192	0	
0.504	-0.0195312	0.0247498	0	
0.506	0.00610352	0.0247742	0	
0.508	-0.0311279	0.0249939	0	
0.51	-0.0317383	0.0249878	0	
0.512	-0.00915527	0.0249146	0	
0.514	-0.00976562	0.0248413	0	
0.516	-0.0317383	0.0251526	0	
0.518	-0.032959	0.0253601	0	
0.52	-0.00549316	0.0250793	0	
0.522	-0.020752	0.0251709	0	
0.524	-0.0317383	0.0254395	0	
0.526	-0.0390625	0.0255066	0	
0.528	-0.00976562	0.0253601	0	
0.53	-0.00732422	0.0253662	0	
0.532	0.0115967	0.025116	0	
0.534	-0.00488281	0.0249268	0	
0.536	-0.0299072	0.0246155	0	
0.538	-0.0531006	0.0247314	0	
0.54	-0.0158691	0.0244263	0	
0.542	0.0115967	0.024054	0	
0.544	-0.0231934	0.0236938	0	
0.546	-0.043335	0.0233826	0	
0.548	-0.0518799	0.0234802	0	
0.55	-0.0512695	0.023938	0	
0.552	-0.0244141	0.0238708	0	
0.554	-0.0189209	0.0237793	0	
0.556	-0.0219727	0.0233582	0	
0.558	-0.03479	0.0230774	0	
0.56	-0.0183105	0.0232239	0	
0.562	-0.0402832	0.0236206	0	
0.564	0.0128174	0.0235718	0	
0.566	0.0219727	0.0234558	0	
0.568	-0.0286865	0.0232483	0	
0.57	-0.00793457	0.0225464	0	
0.572	-0.0274658	0.0224243	0	
0.574	0.0140381	0.0222778	0	
0.576	0.0250244	0.0221802	0	
0.578	0.00305176	0.022113	0	
0.58	-0.0299072	0.0222595	0	
0.582	-0.0244141	0.0224487	0	
0.584	-0.0256348	0.0224976	0	
0.586	-0.0158691	0.0226196	0	
